Cycle,Pair,Classification,MAE
40,GBPUSD,FORECASTABLE,0.02836722668844669
40,GBPEUR,FORECASTABLE,0.05572912579365884
40,GBPCHF,FORECASTABLE,0.08369022057044864
40,USDCAD,UNDEFINED,0.1384989987828254
40,EURUSD,UNDEFINED,0.15542430193015103
40,EURCAD,UNDEFINED,0.23678449079707392
40,EURCHF,UNDEFINED,0.25124852539136705
40,USDCHF,NON FORECASTABLE,0.3168310858870017
40,GBPCAD,NON FORECASTABLE,0.48828227177079303
40,USDJPY,NON FORECASTABLE,155.0050752785598
50,GBPUSD,FORECASTABLE,0.0282263538890394
50,GBPEUR,FORECASTABLE,0.05523540406799371
50,GBPCHF,FORECASTABLE,0.08323453323466053
50,USDCAD,UNDEFINED,0.13873318173222002
50,EURUSD,UNDEFINED,0.15548141240132574
50,EURCAD,UNDEFINED,0.2366386590617283
50,EURCHF,UNDEFINED,0.25107294573466027
50,USDCHF,NON FORECASTABLE,0.31639280048465973
50,GBPCAD,NON FORECASTABLE,0.4885222358408348
50,USDJPY,NON FORECASTABLE,155.04093706792196
